pt11_pre	/research_jude/rgs01_jude/groups/cab/projects/automapper/common/szhang37/projects/szhang_dev/test_ASoC_w_WASP/atac_bams/pt11_pre/outs/fragments.tsv.gz
pt12pre	/research_jude/rgs01_jude/groups/cab/projects/automapper/common/szhang37/projects/szhang_dev/test_ASoC_w_WASP/atac_bams/pt12pre/outs/fragments.tsv.gz
pt24pre	/research_jude/rgs01_jude/groups/cab/projects/automapper/common/szhang37/projects/szhang_dev/test_ASoC_w_WASP/atac_bams/pt24pre/outs/fragments.tsv.gz
pt16pre	/research_jude/rgs01_jude/groups/cab/projects/automapper/common/szhang37/projects/szhang_dev/test_ASoC_w_WASP/atac_bams/pt16pre/outs/fragments.tsv.gz
pt17pre	/research_jude/rgs01_jude/groups/cab/projects/automapper/common/szhang37/projects/szhang_dev/test_ASoC_w_WASP/atac_bams/pt17pre/outs/fragments.tsv.gz
7t	/research_jude/rgs01_jude/groups/cab/projects/automapper/common/szhang37/projects/szhang_dev/test_ASoC_w_WASP/multiome_bams/7t/outs/atac_fragments.tsv.gz
3t	/research_jude/rgs01_jude/groups/cab/projects/automapper/common/szhang37/projects/szhang_dev/test_ASoC_w_WASP/multiome_bams/3t/outs/atac_fragments.tsv.gz
pt22pre	/research_jude/rgs01_jude/groups/cab/projects/automapper/common/szhang37/projects/szhang_dev/test_ASoC_w_WASP/multiome_bams/pt22pre/outs/atac_fragments.tsv.gz
11t	/research_jude/rgs01_jude/groups/cab/projects/automapper/common/szhang37/projects/szhang_dev/test_ASoC_w_WASP/multiome_bams/11t/outs/atac_fragments.tsv.gz
19t	/research_jude/rgs01_jude/groups/cab/projects/automapper/common/szhang37/projects/szhang_dev/test_ASoC_w_WASP/multiome_bams/19t/outs/atac_fragments.tsv.gz
pt26pre	/research_jude/rgs01_jude/groups/cab/projects/automapper/common/szhang37/projects/szhang_dev/test_ASoC_w_WASP/multiome_bams/pt26pre/outs/atac_fragments.tsv.gz
pt29pre	/research_jude/rgs01_jude/groups/cab/projects/automapper/common/szhang37/projects/szhang_dev/test_ASoC_w_WASP/multiome_bams/pt29pre/outs/atac_fragments.tsv.gz
20t	/research_jude/rgs01_jude/groups/cab/projects/automapper/common/szhang37/projects/szhang_dev/test_ASoC_w_WASP/multiome_bams/20t/outs/atac_fragments.tsv.gz
1t	/research_jude/rgs01_jude/groups/cab/projects/automapper/common/szhang37/projects/szhang_dev/test_ASoC_w_WASP/multiome_bams/1t/outs/atac_fragments.tsv.gz
pt30pre	/research_jude/rgs01_jude/groups/cab/projects/automapper/common/szhang37/projects/szhang_dev/test_ASoC_w_WASP/multiome_bams/pt30pre/outs/atac_fragments.tsv.gz
18t	/research_jude/rgs01_jude/groups/cab/projects/automapper/common/szhang37/projects/szhang_dev/test_ASoC_w_WASP/multiome_bams/18t/outs/atac_fragments.tsv.gz
13t	/research_jude/rgs01_jude/groups/cab/projects/automapper/common/szhang37/projects/szhang_dev/test_ASoC_w_WASP/multiome_bams/13t/outs/atac_fragments.tsv.gz
16t	/research_jude/rgs01_jude/groups/cab/projects/automapper/common/szhang37/projects/szhang_dev/test_ASoC_w_WASP/multiome_bams/16t/outs/atac_fragments.tsv.gz
pt20pre	/research_jude/rgs01_jude/groups/cab/projects/automapper/common/szhang37/projects/szhang_dev/test_ASoC_w_WASP/multiome_bams/pt20pre/outs/atac_fragments.tsv.gz
pt23pre	/research_jude/rgs01_jude/groups/cab/projects/automapper/common/szhang37/projects/szhang_dev/test_ASoC_w_WASP/multiome_bams/pt23pre/outs/atac_fragments.tsv.gz
22t	/research_jude/rgs01_jude/groups/cab/projects/automapper/common/szhang37/projects/szhang_dev/test_ASoC_w_WASP/multiome_bams/22t/outs/atac_fragments.tsv.gz
17t	/research_jude/rgs01_jude/groups/cab/projects/automapper/common/szhang37/projects/szhang_dev/test_ASoC_w_WASP/multiome_bams/17t/outs/atac_fragments.tsv.gz
12t	/research_jude/rgs01_jude/groups/cab/projects/automapper/common/szhang37/projects/szhang_dev/test_ASoC_w_WASP/multiome_bams/12t/outs/atac_fragments.tsv.gz
15t	/research_jude/rgs01_jude/groups/cab/projects/automapper/common/szhang37/projects/szhang_dev/test_ASoC_w_WASP/multiome_bams/15t/outs/atac_fragments.tsv.gz
